diagnostic_name,component,tablegen_message,test_reachable,emission_context_available
err_arm_invalid_specialreg,Sema,invalid special register for builtin,false,true
err_array_designator_non_array,Sema,array designator cannot initialize non-array type %0,false,true
err_array_element_alignment,Sema,size of array element of type %0 (%1 bytes) isn't a multiple of its alignment (%2 bytes),true,true
err_array_init_non_constant_array,Sema,"cannot initialize array %diff{of type $ with non-constant array of type $|with different type of array}0,1",false,true
err_array_init_utf8_string_into_char,Sema,initialization of %select{|signed }0char array with UTF-8 string literal is not permitted by %select{'-fchar8_t'|C++20}1,false,true
err_array_section_does_not_specify_contiguous_storage,Sema,array section does not specify contiguous storage,false,true
err_array_section_does_not_specify_length,Sema,array section does not specify length for outermost dimension,false,true
err_array_section_use,Sema,%select{OpenACC sub-array|OpenMP array section}0 is not allowed here,false,true
err_array_size_explicit_conversion,Sema,array size expression of type %0 requires explicit conversion to type %1,false,true
err_array_size_incomplete_type,Sema,array size expression has incomplete class type %0,false,true
err_array_size_not_integral,Sema,"array size expression must have integral or %select{|unscoped }0enumeration type, not %1",false,true
err_asm_empty,Parse,__asm used with no assembly instructions,true,true
err_asm_empty_symbolic_operand_name,AST,empty symbolic operand name in inline assembly string,false,true
err_asm_incomplete_type,Sema,asm operand has incomplete type %0,false,true
err_asm_invalid_escape,AST,invalid %% escape in inline assembly string,true,true
err_asm_invalid_global_var_reg,Sema,register '%0' unsuitable for global register variables on this target,true,true
err_asm_invalid_input_size,Sema,invalid input size for constraint '%0',true,true
err_asm_invalid_operand_number,AST,invalid operand number in inline asm string,false,true
err_asm_invalid_output_size,Sema,invalid output size for constraint '%0',true,true
err_asm_invalid_type,Common,invalid type %0 in asm %select{input|output}1,true,true
err_asm_register_size_mismatch,Sema,size of register '%0' does not match variable size,true,true
err_asm_unknown_symbolic_operand_name,AST,unknown symbolic operand name in inline assembly string,false,true
err_asm_unterminated_symbolic_operand_name,AST,unterminated symbolic operand name in inline assembly string,false,true
err_asm_unwind_and_goto,Sema,unwind clobber cannot be used with asm goto,false,true
err_ast_action_on_llvm_ir,Frontend,cannot apply AST actions to LLVM IR file '%0',false,true
err_ast_file_codegenopt_mismatch,Serialization,%0 was %select{disabled|enabled}1 in precompiled file '%3' but is currently %select{disabled|enabled}2,false,true
err_ast_file_codegenopt_value_mismatch,Serialization,%0 differs in precompiled file '%1' vs. current file,true,true
err_ast_file_diagopt_mismatch,Serialization,"%0 is currently enabled, but was not in the precompiled file '%1'",false,true
err_ast_file_different_branch,Serialization,%select{PCH|module|precompiled}0 file '%1' built from a different branch (%2) than the compiler (%3),false,true
err_ast_file_invalid,Serialization,file '%1' is not a valid %select{PCH|module|precompiled}0 file: %2,true,true
err_ast_file_langopt_mismatch,Serialization,%0 was %select{disabled|enabled}1 in precompiled file '%3' but is currently %select{disabled|enabled}2,true,true
err_ast_file_langopt_value_mismatch,Serialization,%0 differs in precompiled file '%1' vs. current file,true,true
err_ast_file_macro_def_conflict,Serialization,definition of macro '%0' differs between the precompiled file '%3' ('%1') and the command line ('%2'),true,true
err_ast_file_macro_def_undef,Serialization,macro '%0' was %select{defined|undef'd}1 in the precompiled file '%2' but %select{undef'd|defined}1 on the command line,true,true
err_ast_file_modulecache_mismatch,Serialization,"precompiled file '%2' was compiled with module cache path '%0', but the path is currently '%1'",true,true
err_ast_file_not_found,Serialization,%select{PCH|module|precompiled}0 file '%1' not found%select{|: %3}2,true,true
err_ast_file_out_of_date,Serialization,%select{PCH|module|precompiled}0 file '%1' is out of date and needs to be rebuilt%select{|: %3}2,false,true
err_ast_file_pp_detailed_record,Serialization,%select{command line contains|precompiled file '%1' was built with}0 '-detailed-preprocessing-record' but %select{precompiled file '%1' was not built with it|it is not present on the command line}0,false,true
err_ast_file_targetopt_feature_mismatch,Serialization,%select{precompiled file '%1' was|current translation unit is}0 compiled with the target feature '%2' but the %select{current translation unit is|precompiled file '%1' was}0 not,true,true
err_ast_file_targetopt_mismatch,Serialization,precompiled file '%0' was compiled for the %1 '%2' but the current translation unit is being compiled for target '%3',true,true
err_ast_file_undef,Serialization,%select{command line contains|precompiled file '%1' was built with}0 '-undef' but %select{precompiled file '%1' was not built with it|it is not present on the command line}0,true,true
err_ast_file_version_too_new,Serialization,%select{PCH|module|precompiled }0 file '%1' uses a newer format that cannot be read,false,true
err_ast_file_version_too_old,Serialization,%select{PCH|module|precompiled}0 file '%1' uses an older format that is no longer supported,false,true
err_ast_file_with_compiler_errors,Serialization,%select{PCH|module|precompiled}0 file '%1' contains compiler errors,true,true
err_at_defs_cxx,Parse,@defs is not supported in Objective-C++,true,true
err_at_in_class,Parse,unexpected '@' in member specification,true,true
err_atdef_nonfragile_interface,Sema,use of @defs is not supported on this architecture and platform,false,true
err_atimport,Parse,use of '@import' when modules are disabled,true,true
err_atomic_builtin_must_be_pointer_intfltptr,Sema,"address argument to atomic builtin must be a pointer to integer, floating-point or pointer (%0 invalid)",true,true
err_atomic_builtin_pointer_size,Sema,"address argument to atomic builtin must be a pointer to 1,2,4,8 or 16 byte type (%0 invalid)",false,true
err_atomic_exclusive_builtin_pointer_size,Sema,"address argument to load or store exclusive builtin must be a pointer to %select{|,| or }1%select{|1}2%select{|,| or }3%select{|2}4%select{|,| or }5%select{|4}6%select{|,| or }7%select{|8}8 byte type (%0 invalid)",true,true
err_atomic_exclusive_builtin_pointer_size_none,Sema,%select{|eight-byte }0load and store exclusive builtins are not available on this architecture,true,true
err_atomic_load_store_uses_lib,Sema,atomic %select{load|store}0 requires runtime support that is not available for this target,true,true
