diag_name,component,message_template,covered_only_by_opportunistic_record
err_cannot_pass_non_trivial_c_struct_to_vararg,Sema,cannot pass non-trivial C object of type %0 by value to variadic %select{function|block|method|constructor}1,false
err_cannot_pass_to_vararg_format,Sema,cannot pass %select{expression of type %1|initializer list}0 to variadic %select{function|block|method|constructor}2; expected type from format string was %3,false
err_capture_block_variable,Sema,__block variable %0 cannot be captured in a %select{lambda expression|captured statement}1,false
err_capture_by_attribute_multiple,Sema,multiple 'lifetime_capture' attributes specified,false
err_capture_by_attribute_no_entity,Sema,'lifetime_capture_by' attribute specifies no capturing entity,false
err_carries_dependency_param_not_function_decl,Sema,'[[carries_dependency]]' attribute only allowed on parameter in a function declaration or lambda,false
err_catch_sizeless,Sema,cannot catch %select{|reference to }0sizeless type %1,false
err_catch_variably_modified,Sema,cannot catch variably modified type %0,false
err_cconv_knr,Sema,function with no prototype cannot use the %0 calling convention,false
err_cfstring_literal_not_string_constant,Sema,CFString literal is not a string constant,false
err_conditional_ambiguous,Sema,"conditional expression is ambiguous; %diff{$ can be converted to $ and vice versa|types can be convert to each other}0,1",false
err_conditional_ambiguous_ovl,Sema,"conditional expression is ambiguous; %diff{$ and $|types}0,1 can be converted to several common types",false
err_conditional_vector_mismatched,Sema,"vector operands to the vector conditional must be the same type %diff{($ and $)|}0,1}",false
err_conditional_vector_scalar_type_unsupported,Sema,scalar type %0 not supported with vector condition type %1,false
err_conflict_marker,Lex,version control conflict marker in file,false
err_conflicting_aliasing_type,Sema,conflicting types for alias %0,false
err_conflicting_overriding_attributes,Sema,"virtual function %0 has different attributes %diff{($) than the function it overrides (which has $)|than the function it overrides}1,2",false
err_constexpr_body_no_return,Sema,no return statement in %select{constexpr|consteval}0 function,true
err_constexpr_dtor_subobject,Sema,destructor cannot be declared %sub{select_constexpr_spec_kind}0 because %select{data member %2|base class %3}1 does not have a constexpr destructor,false
err_constexpr_static_mem_var_requires_init,Sema,declaration of constexpr static data member %0 requires an initializer,false
err_constexpr_var_requires_const_destruction,Sema,constexpr variable %0 must have constant destruction,false
err_constexpr_vla,Sema,variably-modified type %0 cannot be used in a constexpr %select{function|constructor}1,false
err_constexpr_wrong_decl_kind,Sema,%sub{select_constexpr_spec_kind}0 can only be used in %select{|variable and function|function|variable}0 declarations,false
err_constrained_virtual_method,Sema,virtual function cannot have a requires clause,false
err_constraint_depends_on_self,Sema,satisfaction of constraint %0 depends on itself,false
err_continue_switch,Sema,label of 'continue' refers to a switch statement,false
err_conv_function_to_array,Sema,conversion function cannot convert to an array type,false
err_conv_function_to_function,Sema,conversion function cannot convert to a function type,false
err_conv_mixed_enum_types,Sema,"invalid %sub{select_arith_conv_kind}0 different enumeration types%diff{ ($ and $)|}1,2",false
err_convertvector_constexpr_unsupported_vector_cast,Sema,unsupported vector cast from %0 to %1 in a constant expression,false
err_coro_invalid_addr_of_label,Sema,the GNU address of label extension is not allowed in coroutines,false
err_coroutine_handle_missing_member,Sema,std::coroutine_handle must have a member named '%0',false
err_coroutine_outside_function,Sema,'%0' cannot be used outside a function,false
err_coroutine_promise_final_suspend_requires_nothrow,Sema,the expression 'co_await __promise.final_suspend()' is required to be non-throwing,false
err_coroutine_promise_get_return_object_on_allocation_failure,Sema,%0: 'get_return_object_on_allocation_failure()' must be a static member function,false
err_coroutine_promise_new_requires_nothrow,Sema,%0 is required to have a non-throwing noexcept specification when the promise type declares 'get_return_object_on_allocation_failure()',false
err_coroutine_promise_unhandled_exception_required,Sema,%0 is required to declare the member 'unhandled_exception()',false
err_coroutine_type_missing_specialization,Sema,this function cannot be a coroutine: missing definition of specialization %0,false
err_coroutine_unfound_nothrow_new,Sema,"unable to find %select{'::operator new(size_t, nothrow_t)'|'::operator new(size_t, align_val_t, nothrow_t)'}1 for %0",false
err_coroutine_unusable_new,Sema,'operator new' provided by %0 is not usable with the function signature of %1,false
err_counter_overflow,Lex,'__COUNTER__' value cannot exceed 2'147'483'647,false
err_covariant_return_type_different_qualifications,Sema,return type of virtual function %0 is not covariant with the return type of the function it overrides (%1 has different qualifiers than %2),false
err_current_module_name_mismatch,Sema,module name '%0' specified on command line does not match name of module,false
err_declaration_does_not_declare_param,Parse,declaration does not declare a parameter,false
err_declarator_need_ident,Sema,declarator requires an identifier,false
err_deduced_class_template_deleted,Sema,class template argument deduction for %0 selected a deleted constructor,false
err_deduced_non_class_or_alias_template_specialization_type,Sema,%select{<error>|function template|variable template|alias template|template template parameter|concept|template}0 %1 requires template arguments; argument deduction only allowed for class templates or alias templates,false
err_deduced_non_type_template_arg_type_mismatch,Sema,"deduced non-type template argument does not have the same type as the corresponding template parameter%diff{ ($ vs $)|}0,1",false
err_deduced_return_type,Sema,deduced return types are a C++14 extension,false
err_deduced_tst,Sema,typename specifier refers to %select{class template|function template|variable template|alias template|template template parameter|template}0; argument deduction not allowed here,false
err_deduction_guide_invalid_specifier,Sema,deduction guide cannot be declared '%0',false
err_deep_exception_specs_differ,Sema,exception specifications of %select{return|argument}0 types differ,false
err_default_arg_makes_ctor_special,Sema,addition of default argument on redeclaration makes this constructor a %select{default|copy|move}0 constructor,false
err_default_arg_unparsed,Parse,unexpected end of default argument expression,false
err_default_member_initializer_cycle,Sema,default member initializer for %0 uses itself,false
err_defaulted_special_member_copy_const_param,Sema,"the parameter for this explicitly-defaulted copy %select{constructor|assignment operator}0 is const, but a member or base requires it to be non-const",false
err_defaulted_special_member_explicit_object_mismatch,Sema,the type of the explicit object parameter of an explicitly-defaulted %select{copy|move}0 assignment operator should be reference to %1,false
err_defaulted_special_member_quals,Sema,"an explicitly-defaulted %select{copy|move}0 assignment operator may not have 'const'%select{, 'constexpr'|}1 or 'volatile' qualifiers",false
